E,Int.length,X,Y,Z
3.00E+13,1.40E-11,-1.04E-06,1.45E-06,3.05E-06
1.50E+13,1.15E-10,-1.04E-06,1.45E-06,3.05E-06
7.60E+12,1.69E-10,-1.04E-06,1.45E-06,3.05E-06
3.79E+12,1.82E-10,-1.04E-06,1.45E-06,3.05E-06
1.86E+12,6.73E-10,-1.04E-06,1.45E-06,3.05E-06
9.15E+11,9.71E-12,-1.04E-06,1.45E-06,3.05E-06
4.74E+11,1.12E-09,-1.04E-06,1.45E-06,3.05E-06
2.41E+11,2.10E-09,-1.04E-06,1.45E-06,3.05E-06
1.26E+11,9.87E-10,-1.04E-06,1.45E-06,3.05E-06
6.35E+10,7.17E-09,-1.04E-06,1.46E-06,3.05E-06
3.23E+10,3.49E-08,-1.02E-06,1.44E-06,3.07E-06
1.58E+10,9.29E-09,-1.01E-06,1.43E-06,3.07E-06
7.92E+09,1.64E-07,-8.99E-07,1.40E-06,3.19E-06
4.00E+09,6.23E-08,-9.30E-07,1.41E-06,3.13E-06
1.97E+09,3.51E-07,-9.36E-07,1.70E-06,2.95E-06
1.01E+09,2.34E-07,-9.68E-07,1.64E-06,2.72E-06
5.16E+08,2.38E-07,-9.38E-07,1.41E-06,2.72E-06
2.63E+08,1.41E-06,-1.68E-06,2.00E-06,1.68E-06
1.25E+08,6.61E-07,-2.25E-06,2.11E-06,1.35E-06
6.21E+07,6.12E-06,-7.41E-07,4.86E-06,6.61E-06
3.02E+07,1.95E-05,-1.55E-05,1.18E-05,1.73E-05
1.49E+07,1.26E-04,4.14E-05,7.61E-05,-7.51E-05